data_compra,cpf,destino,cep
2024-10-17,10433218196,Austrália,05095223
2024-10-21,15951484656,EUA,01567130
2024-02-15,94808313678,EUA,80661728
2024-11-07,85574443135,Canadá,40196221
2024-08-11,94131869993,Canadá,04461930
2025-07-19,74964990913,EUA,01270676
2025-06-01,29612018366,Canadá,01161378
2024-05-01,23124329212,Austrália,22475772
2025-11-28,68705685662,Austrália,01188772
2024-07-17,50163159996,Irlanda,01649279
2025-03-22,41212678886,Irlanda,30091362
2024-12-09,81995604661,Canadá,05585533
2024-05-08,21020275884,Reino Unido,20129767
2024-04-24,37474112490,Canadá,05151093
2025-07-26,54522675289,Canadá,20681603
2025-01-15,15997062962,Irlanda,60339210
2025-01-21,83564208737,Irlanda,01002013
2024-10-01,25579415521,EUA,04985467
2024-06-24,75899757113,Canadá,60363849
2024-08-11,22885158799,EUA,01690765
2025-08-28,49147660728,Canadá,70764400
2024-08-08,84245088210,Canadá,20550560
2025-04-04,85677005184,Irlanda,90385669
2025-06-22,62103886291,Irlanda,22923629
2024-09-03,02146566938,EUA,01941092
2024-04-11,22569961125,EUA,01324668
2024-11-01,70312073564,Canadá,01474713
2024-12-02,31365024916,EUA,70992043
2024-07-07,24077848739,Reino Unido,01331749
2024-02-08,46225179086,EUA,90408513
2024-01-17,87800384576,Irlanda,50355700
2025-07-12,62168936392,Reino Unido,20931619
2025-04-18,66474231220,Canadá,04620580
2024-11-25,99281615814,Canadá,01410604
2025-11-18,29022784699,Canadá,40210697
2025-07-10,75197128478,Reino Unido,01251483
2024-08-12,86391741011,EUA,22795456
2024-02-16,06007806867,EUA,05463507
2025-05-17,01658046498,Reino Unido,60806701
2024-03-21,35548640155,Canadá,20513539
2024-05-21,29025725204,EUA,01651933
2025-09-21,52499118773,Canadá,90502516
2025-01-06,29341722329,Canadá,30812425
2024-07-07,74338005452,Irlanda,01826065
2025-04-03,05485101749,Reino Unido,01347241
2024-04-18,12094818139,Canadá,01980583
2024-07-16,40578617063,Irlanda,80567986
2025-10-24,65217073033,Reino Unido,04244492
2025-07-24,58025662128,EUA,30760070
2024-08-04,56627768962,Canadá,40780390
2025-08-21,71649328980,EUA,20815089
2025-10-24,11159319525,Canadá,01318063
2024-01-23,63611284971,EUA,20717585
2025-07-28,53474916247,Irlanda,04311114
2025-08-02,92758955168,Irlanda,05898896
2025-03-10,28498247414,EUA,30041222
2024-03-24,97052774025,EUA,04357924
2024-10-18,96711148375,Reino Unido,30730309
2025-04-29,97413283483,EUA,01742835
2024-05-10,10496706670,EUA,70388188
2024-03-12,13765158815,Canadá,70619235
2024-09-19,04485157919,EUA,04119940
2024-12-18,87209628936,EUA,04212350
2025-06-08,88418343740,Austrália,01486143
2025-07-12,98199605932,Canadá,30700093
2025-12-15,50968832753,EUA,01959729
2024-10-20,24913577908,Austrália,04372680
2024-07-13,21557325737,EUA,30203693
2025-08-25,16491334245,Canadá,50684604
2025-01-24,54655358512,EUA,20814551
2024-11-19,33922071511,EUA,05824417
2025-01-03,08004635806,Reino Unido,05520379
2024-05-11,70996254384,EUA,04501326
2025-12-09,46558665254,Reino Unido,04500288
2024-04-29,87525680656,EUA,50627856
2024-07-04,04599080271,EUA,90155104
2024-11-26,60847068103,EUA,01213235
2024-11-29,76816995706,Irlanda,90777927
2025-09-16,25373377731,Canadá,01566648
2024-06-22,76886878599,Canadá,04536959
2025-02-17,54132971506,Canadá,05157424
2024-02-05,70450691767,Austrália,30945322
2025-04-23,88899572989,Canadá,04435176
2025-06-05,29608070633,Irlanda,80632363
2024-08-02,16432126942,Canadá,01417304
2024-07-25,23009156182,Canadá,05250704
2024-07-12,17607234838,EUA,01333686
2025-09-06,12385951434,Canadá,70246601
2024-06-25,32894633891,Austrália,04168266
2025-09-17,33589513818,Austrália,60378374
2025-06-29,81367500942,EUA,01290973
2024-09-11,27045238885,EUA,22911140
2025-04-22,29295014374,Canadá,70058626
2024-04-07,55610399529,EUA,01794099
2024-07-17,06713073510,Irlanda,05993543
2024-06-02,47436213009,Irlanda,60357544
2025-07-21,20418135998,EUA,22922150
2025-09-06,96047842170,Austrália,01104395
2024-06-11,48942046648,Irlanda,01441509
2024-05-29,09745338906,Canadá,22877801
2024-01-27,67784816524,EUA,22938686
2025-09-14,06579551562,Canadá,90746844
2025-04-26,09085510740,Canadá,80910239
2024-08-05,31006493403,Reino Unido,30003284
2025-06-12,80186774037,EUA,22711696
2024-12-09,62417842902,Canadá,20224808
2025-10-26,20203042322,Canadá,30367870
2025-01-17,66706362198,Irlanda,22370061
2024-01-26,72214257316,Irlanda,01232990
2024-05-30,52862092973,Canadá,05736382
2024-02-16,10870826971,Canadá,04849874
2024-04-28,77119529635,Irlanda,22711379
2024-01-25,62203347424,Irlanda,90671110
2025-07-30,86901707403,Canadá,70360106
2025-09-21,26221320410,Irlanda,22626259
2025-01-13,83805826929,Austrália,01061461
2024-03-22,88352791875,Canadá,01415975
2025-01-06,27726488395,Canadá,22729691
2025-09-11,12303885681,Canadá,01624503
2024-11-27,79255116436,EUA,01675137
2025-08-06,88027304276,Austrália,01137956
2025-11-09,81444718939,Reino Unido,04948022
2024-11-26,68649864786,Canadá,80129219
2025-05-22,06983692353,Irlanda,05522447
2025-09-01,26208581745,Irlanda,80232808
2024-01-24,04227634601,Irlanda,01340242
2024-03-15,66821215649,Irlanda,22365262
2025-10-14,00347131719,Irlanda,30046799
2025-11-30,47642789615,Canadá,04565345
2024-11-27,25923868790,Reino Unido,30816269
2024-11-20,01933538922,Irlanda,22856474
2025-07-16,11936006082,EUA,80674038
2025-08-18,68576063494,Canadá,70838284
2024-01-27,64818754036,Canadá,01860898
2024-06-15,56999299833,Austrália,01885995
2025-04-26,26184025787,Canadá,30928397
2024-11-08,86027574544,Irlanda,40044326
2025-07-23,53157905719,Austrália,80445987
2025-10-03,30192209567,EUA,70194870
2025-07-02,16806647070,Irlanda,01053243
2024-05-12,60595298424,Irlanda,01655484
2024-05-07,71888223788,Canadá,22059337
2025-05-17,52474665353,Reino Unido,01130780
2024-03-14,78233720945,EUA,01499409
2025-06-30,67960828967,Canadá,70714211
2024-07-15,10162600802,Canadá,01573585
2024-04-12,50092449287,Canadá,80357654
2025-05-24,73544534514,Reino Unido,04917562
2025-05-16,31342755767,Canadá,20112735
2024-06-02,27065934104,Canadá,22760959
2024-02-15,55726169496,Irlanda,01935574
2024-10-11,36131798549,EUA,01317705
2024-09-29,90372954585,EUA,01349711
2025-10-23,24842024350,EUA,20449421
2024-02-14,44966866798,Canadá,01467016
2025-09-24,34852953774,Canadá,05487398
2024-07-25,58374661447,EUA,04945095
2024-06-17,81675923831,Canadá,80318545
2025-12-08,24219597309,Reino Unido,30064527
2025-07-16,65699313606,Canadá,70906949
2024-10-04,72839516730,Irlanda,04746226
2025-09-12,59722422848,Canadá,90790678
2024-05-05,22883413351,Reino Unido,60076278
2025-04-17,96714803007,Reino Unido,22823372
2024-11-19,91065735174,Irlanda,22386587
2025-04-20,45973173033,Canadá,22594810
2025-03-23,09251920182,Canadá,04129243
2024-04-10,14015273117,EUA,01405318
2024-09-09,64119925512,Reino Unido,22522820
2024-02-10,37356407830,EUA,04050787
2024-05-19,69789995145,Irlanda,01421472
2025-11-09,14674906688,Canadá,30381070
2024-05-14,86989484817,Irlanda,01415827
2024-04-18,61977317394,Reino Unido,01279518
2025-06-28,00110156161,Irlanda,22197575
