data_resposta,cpf,intervalo_renda
2024-07-01,04876475690,R$8.000–12.000
2025-10-02,47998441851,R$8.000–12.000
2024-05-10,41277262659,R$8.000–12.000
2024-02-19,14429062988,R$4.000–8.000
2024-02-06,31357944388,R$2.000–4.000
2025-04-26,65997917335,R$2.000–4.000
2025-11-03,97157223585,R$8.000–12.000
2025-07-12,03052711452,R$4.000–8.000
2024-08-19,74539745650,R$2.000–4.000
2025-01-02,42153087529,R$8.000–12.000
2024-12-11,23689523159,R$8.000–12.000
2025-08-12,31533027761,R$8.000–12.000
2024-05-29,17007130598,+R$12.000
2024-12-31,09494317809,+R$12.000
2024-09-07,11437782070,+R$12.000
2024-12-10,36441353931,R$8.000–12.000
2024-07-09,28723940594,R$4.000–8.000
2025-09-26,80545802643,R$8.000–12.000
2025-03-01,29256323021,R$4.000–8.000
2024-02-01,50403991028,R$4.000–8.000
2024-09-17,55597055604,R$8.000–12.000
2025-05-28,00526255983,R$4.000–8.000
2024-06-06,89186016527,R$8.000–12.000
2025-07-30,81156851120,R$8.000–12.000
2024-10-14,37497622021,R$8.000–12.000
2025-12-09,52422595942,R$8.000–12.000
2024-02-20,25246398560,+R$12.000
2025-02-27,74257775162,R$4.000–8.000
2024-08-28,78554939143,+R$12.000
2025-03-18,28030720659,R$8.000–12.000
2025-01-03,27888873742,R$8.000–12.000
2025-05-22,91731752285,R$4.000–8.000
2025-08-10,62673664853,R$2.000–4.000
2025-04-23,50403481707,R$8.000–12.000
2024-04-04,31711030296,R$8.000–12.000
2024-10-09,28224585223,+R$12.000
2024-02-12,34234760685,R$8.000–12.000
2024-01-31,24360488797,R$8.000–12.000
2024-08-07,99393359781,R$8.000–12.000
2025-02-12,22856308818,+R$12.000
2024-04-25,30976691948,R$8.000–12.000
2025-11-12,90959689663,R$2.000–4.000
2025-05-13,65277842293,R$8.000–12.000
2024-12-19,09817772564,R$8.000–12.000
2025-07-08,99802127881,R$8.000–12.000
2024-01-26,74501667798,R$8.000–12.000
2025-09-29,27047477898,R$8.000–12.000
2025-02-21,40996567895,R$8.000–12.000
2025-08-27,19600938426,R$2.000–4.000
2024-03-25,67557711197,R$8.000–12.000
2025-01-19,13513614635,R$4.000–8.000
2025-01-27,46393313114,R$8.000–12.000
2024-01-23,78978230455,R$8.000–12.000
2025-10-07,67455536025,R$4.000–8.000
2025-01-07,13059237965,R$4.000–8.000
2024-10-07,83143016984,R$8.000–12.000
2024-01-03,70875584564,R$2.000–4.000
2024-03-11,78335808157,R$4.000–8.000
2024-04-09,56897994718,+R$12.000
2025-12-02,66383794089,R$4.000–8.000
2024-07-25,45964883192,R$8.000–12.000
2025-06-09,69935657416,R$8.000–12.000
2024-12-28,44828514767,R$8.000–12.000
2025-09-10,12694786379,R$8.000–12.000
2025-01-01,00840791622,+R$12.000
2025-07-14,23573866567,R$8.000–12.000
2025-05-06,42383762998,R$8.000–12.000
2025-03-09,82155741251,R$8.000–12.000
2024-10-18,34586147485,R$4.000–8.000
2024-06-05,78094145059,+R$12.000
2024-02-19,32854434742,R$2.000–4.000
2025-06-26,50636985167,R$4.000–8.000
2024-03-22,49755901716,+R$12.000
2025-08-01,90494069775,R$8.000–12.000
2025-08-10,57594190454,+R$12.000
2025-03-04,56694669571,R$8.000–12.000
2024-10-06,39637298366,R$4.000–8.000
2024-12-17,21320643333,R$4.000–8.000
2024-09-13,48316397656,+R$12.000
2025-09-29,06858049677,+R$12.000
2024-02-06,96727865621,R$8.000–12.000
2025-11-25,98458824729,R$4.000–8.000
2025-02-06,18866091060,R$2.000–4.000
2025-07-29,79405681528,R$8.000–12.000
2024-10-02,84569341079,R$4.000–8.000
2024-05-15,26150540414,R$8.000–12.000
2025-07-18,08789652175,R$4.000–8.000
2024-07-22,62230690105,R$4.000–8.000
2025-08-17,24266249753,R$4.000–8.000
2024-02-02,75054595403,+R$12.000
2024-05-19,30170107454,+R$12.000
2024-01-01,72329044581,+R$12.000
2024-08-04,08730344753,R$8.000–12.000
